What is the chemical formula of water?,H2O,CO2,NaCl,O2,0
Which gas is used in the preparation of soda water?,Oxygen,Hydrogen,Carbon dioxide,Nitrogen,2
What is the unit of electric current?,Volt,Ampere,Watt,Ohm,1
Which metal is the best conductor of electricity?,Iron,Copper,Aluminum,Silver,3
What is the name of the process by which green plants make their own food?,Respiration,Digestion,Photosynthesis,Transpiration,2
Which part of the cell contains genetic material?,Mitochondria,Cytoplasm,Nucleus,Cell wall,2
What is Newton's Third Law of Motion?,F=ma,Every action has an equal and opposite reaction,An object in motion stays in motion,Energy is conserved,1
What is the speed of light in vacuum?,3x10^8 m/s,1.5x10^8 m/s,3x10^6 m/s,1x10^6 m/s,0
What is the pH of pure water?,7,5,1,9,0
Which organ is responsible for filtering blood in the human body?,Heart,Liver,Lungs,Kidney,3
